focal,dice,entropy,area,tv,epoch,total_val_loss,masked_acc
12.727705001831055,5.130889892578125,0.03424462303519249,0.008952905423939228,0.06588633358478546,1,17.969228744506836,0.8046438694000244
12.665842056274414,5.111056327819824,0.03147904574871063,0.010266999714076519,0.061160195618867874,2,17.88179588317871,0.8204221725463867
12.871511459350586,5.102509498596191,0.034554388374090195,0.008073636330664158,0.06784895807504654,3,18.0870418548584,0.8297731876373291
12.034510612487793,5.074483871459961,0.03207019343972206,0.00865069217979908,0.06428628414869308,4,17.217321395874023,0.8462649583816528
13.581365585327148,5.05679178237915,0.030237436294555664,0.008251526392996311,0.06435056775808334,5,18.743610382080078,0.864477276802063
13.828731536865234,5.030500411987305,0.02880752459168434,0.008005915209650993,0.06395965814590454,6,18.965112686157227,0.8742817640304565
15.242104530334473,5.038138389587402,0.02888798527419567,0.0082392618060112,0.06645506620407104,7,20.386079788208008,0.8809999227523804
13.217771530151367,5.0590667724609375,0.02710048295557499,0.009254922159016132,0.06196896359324455,8,18.378328323364258,0.883801281452179
15.617984771728516,5.052484512329102,0.027381479740142822,0.009231789968907833,0.0637945607304573,9,20.773365020751953,0.8936958909034729
14.328109741210938,5.0445075035095215,0.025296524167060852,0.00982583872973919,0.0609232597053051,10,19.473398208618164,0.8962193727493286
13.943852424621582,5.021003723144531,0.024372700601816177,0.00966432224959135,0.05970475450158119,11,19.061161041259766,0.904761016368866
14.222583770751953,5.033445358276367,0.02383195422589779,0.009993969462811947,0.058219730854034424,12,19.351802825927734,0.9159964919090271
14.025918006896973,5.026641845703125,0.024646548554301262,0.00987654272466898,0.0588516928255558,13,19.149850845336914,0.9219825863838196
14.829692840576172,5.024394989013672,0.0232582688331604,0.01023646630346775,0.05649515613913536,14,19.947795867919922,0.925044059753418
14.948328971862793,5.044294357299805,0.022392187267541885,0.010970905423164368,0.05569734051823616,15,20.087684631347656,0.9267444014549255
14.864435195922852,5.02604866027832,0.022831527516245842,0.010082494467496872,0.05771629139780998,16,19.984460830688477,0.9309686422348022
