epoch,learning_rate,loss,masked_accuracy,mean_iou,val_loss,val_masked_accuracy,val_mean_iou
0,0.0010000000474974513,6.4020280838012695,0.8046438694000244,0.5490592122077942,17.969228744506836,0.49418672919273376,0.2779444456100464
1,0.0010000000474974513,6.252895832061768,0.8204221725463867,0.5662123560905457,17.88179588317871,0.4708317518234253,0.2603783905506134
2,0.0010000000474974513,6.162329196929932,0.8297731876373291,0.579127848148346,18.0870418548584,0.5164687633514404,0.2822856903076172
3,0.0010000000474974513,5.981805324554443,0.8462649583816528,0.5979509949684143,17.217321395874023,0.5096920132637024,0.28584960103034973
4,0.0010000000474974513,5.797618389129639,0.864477276802063,0.62083500623703,18.743610382080078,0.5253578424453735,0.29276973009109497
5,0.0010000000474974513,5.706182956695557,0.8742817640304565,0.6350579857826233,18.965112686157227,0.540557861328125,0.3028205335140228
6,0.0010000000474974513,5.66590690612793,0.8809999227523804,0.6434006094932556,20.386079788208008,0.5280646681785583,0.2986692190170288
7,0.0010000000474974513,5.601231098175049,0.883801281452179,0.6496419906616211,18.378328323364258,0.5179353952407837,0.28068363666534424
8,0.0010000000474974513,5.469621658325195,0.8936958909034729,0.6631138324737549,20.773365020751953,0.5067365169525146,0.2890933156013489
9,0.0010000000474974513,5.480384826660156,0.8962193727493286,0.663762092590332,19.473398208618164,0.5191122889518738,0.2996935546398163
10,0.0005000000237487257,5.36253023147583,0.904761016368866,0.6783339381217957,19.061161041259766,0.5285833477973938,0.2951483428478241
11,0.0005000000237487257,5.24027156829834,0.9159964919090271,0.6931397318840027,19.351802825927734,0.5283229947090149,0.29182979464530945
12,0.0005000000237487257,5.1648759841918945,0.9219825863838196,0.7030858993530273,19.149850845336914,0.5226254463195801,0.2895839214324951
13,0.0005000000237487257,5.133347034454346,0.925044059753418,0.706734836101532,19.947795867919922,0.5106978416442871,0.2898487448692322
14,0.0005000000237487257,5.118926525115967,0.9267444014549255,0.710193932056427,20.087684631347656,0.5047256350517273,0.28966644406318665
15,0.0005000000237487257,5.072336196899414,0.9309686422348022,0.7162966728210449,19.984460830688477,0.521404504776001,0.29125696420669556
